Country,Population,Number of Youtuber,Longitude,Latitude
Afghanistan,38041754,1,67.709953,33.93911
Andorra,80126,1,1.521835,42.506317
Argentina,44938712,15,-63.616672,-38.416097
Australia,25766605,9,133.775136,-25.274398
Bangladesh,167310838,1,90.356331,23.684994
Barbados,287025,1,-59.543198,13.193887
Brazil,212559417,67,-51.92528,-14.235004
Canada,36991981,15,-106.346771,56.130366
Chile,18952038,4,-71.542969,-35.675147
China,1397715000,1,104.195397,35.86166
Colombia,50339443,12,-74.297333,4.570868
Cuba,11333483,1,-77.781167,21.521757
Ecuador,17373662,2,-78.183406,-1.831239
Egypt,100388073,2,30.802498,26.820553
El Salvador,6453553,2,-88.89653,13.794185
Finland,5520314,1,25.748151,61.92411
France,67059887,5,2.213749,46.227638
Germany,83132799,6,10.451526,51.165691
India,1366417754,196,78.96288,20.593684
Indonesia,270203917,32,113.921327,-0.78928
Iraq,39309783,2,43.679291,33.223191
Italy,60297396,2,12.56738,41.87194
Japan,126226568,5,138.252924,36.204824
Jordan,10101694,3,36.238414,30.585164
Kuwait,4207083,1,47.481766,29.31166
Latvia,1912789,1,24.603189,56.879635
Malaysia,32447385,1,101.975766,4.210484
Mexico,126014024,38,-102.552784,23.634501
Morocco,36910560,1,-7.09262,31.791702
Netherlands,17332850,3,5.2913,52.1326
Pakistan,216565318,6,69.345116,30.375321
Peru,32510453,2,-75.015152,-9.189967
Philippines,108116615,12,121.774017,12.879721
Puerto Rico,"3,260,314",2,-66.5901,18.2208
Russia,144373535,17,105.318756,61.52401
Saudi Arabia,34268528,9,45.079162,23.885942
Singapore,5703569,3,103.819836,1.352083
South Korea,51709098,19,127.766922,35.907757
Spain,47076781,23,-3.74922,40.463667
Sweden,10285453,4,18.643501,60.128161
Switzerland,8574832,1,8.227512,46.818188
Thailand,69625582,18,100.992541,15.870032
Turkey,83429615,5,35.243322,38.963745
Ukraine,44385155,8,31.16558,48.379433
United Arab Emirates,9770529,7,53.847818,23.424076
United Kingdom,66834405,42,-3.435973,55.378051
United States,328239523,340,37.09024,-95.712891
Vietnam,96462106,3,108.277199,14.058324
